Title,Company,Location,URL,Description,skills_required
Machine Learning Engineer (LLM),BJAK,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/machine-learning-engineer-llm-at-bjak-4337777155?position=5&pageNum=5&refId=vb5ByPxLEAe4OTfzF%2B%2Bfhg%3D%3D&trackingId=yMNHTLpsqV9Atzk9zXE5gw%3D%3D,"Transform Language Models into Real-World Applications We’re building AI systems for a global audience. We are living in an era of AI transition - this new project team will be focusing on building applications to enable more real world impact and highest usage for the world. This is a remote role based in Indonesia, working closely with our HQ in Malaysia and cross-functional regional teams. You’ll operate across the stack, from backend logic and integration to frontend delivery, building intelligent systems that scale fast and matter deeply. Why This Role Matters You’ll fine-tune state-of-the-art models, design evaluation frameworks, and bring AI features into production. Your work ensures our models are not only intelligent, but also safe, trustworthy, and impactful at scale. What You’ll Do Fine-tune & adapt - Use LoRA/QLoRA to optimize open-source models (LLaMA, Mistral, Gemma) Engineer prompts & curates data - Craft prompts and datasets that reflect tone, brand voice, and safety. Evaluate models – Build metrics pipelines for perplexity, toxicity, and relevance to ensure safe and high-quality outputs. Deploy & monitor – Scale models into production with performance optimization and monitoring for drift. Collaborate & deliver – Partner with product, engineering, and design teams to launch user-facing AI features. What Is It Like Likes ownership and independence Believe clarity comes from action - prototype, test, and iterate without waiting for perfect plans. Stay calm and effective in startup chaos - shifting priorities and building from zero doesn’t faze you. Bias for speed - you believe it’s better to deliver something valuable now than a perfect version much later. See feedback and failure as part of growth - you’re here to level up. Possess humility, hunger, and hustle, and lift others up as you go. Requirements Strong experience in transformers, deep learning, and fine-tuning methods (LoRA/QLoRA, SFT, distillation). Proficiency with PyTorch (preferred) or TensorFlow. Skilled in prompt engineering and dataset curation for alignment with tone, safety, and trust. Familiar with evaluation metrics: perplexity, toxicity, relevance. Strong software engineering foundations in algorithms, data structures, and clean code practices. Nice to Have Prior work in text generation, moderation, or personalization. Experience with RLHF or reinforcement learning in LLMs. Contributions to open-source ML projects. What You’ll Get Flat structure & real ownership Full involvement in direction and consensus decision making Flexibility in work arrangement High-impact role with visibility across product, data, and engineering Top-of-market compensation and performance-based bonuses Global exposure to product development Lots of perks - housing rental subsidies, a quality company cafeteria, and overtime meals Health, dental & vision insurance Global travel insurance (for you & your dependents) Unlimited, flexible time off Our Team & Culture We’re a densed, high-performance team focused on high quality work and global impact. We behave like owners. We value speed, clarity, and relentless ownership. If you’re hungry to grow and care deeply about excellence, join us. About Bjak BJAK is Southeast Asia’s #1 insurance aggregator with 8M+ users, fully owned by its employees. Headquartered in Malaysia and operating in Thailand, Taiwan, and Japan, we help millions of users access transparent and affordable financial protection through Bjak.com. We simplify complex financial products through cutting-edge technologies, including APIs, automation, and AI, to build the next generation of intelligent financial systems. If you're excited to build real-world AI systems and grow fast in a high-impact environment, we’d love to hear from you.",deep learning;monitoring;pytorch;tensorflow;text generation
Data Scientist,Philip Morris International,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-scientist-at-philip-morris-international-4278782491?position=6&pageNum=5&refId=vb5ByPxLEAe4OTfzF%2B%2Bfhg%3D%3D&trackingId=S7qdEup%2FSHhoN1RoXlM%2FNQ%3D%3D,"MAKE HISTORY WITH US! At PMI, we’ve chosen to do something incredible. We’re totally transforming our business, and building our future on smoke-free products with the power to improve the lives of a billion smokers worldwide. With huge change, comes huge opportunity. So, wherever you join us, you’ll enjoy the freedom to dream up and deliver better, brighter solutions and the space to move your career forward in endlessly different directions. Role Overview You are highly driven to constantly innovate and drive positive change, but more importantly, you consistently deliver great results. As a data engineer in PMI Business Solutions, you will have the opportunity to be a part of something different. This position offers exceptional opportunities for every candidate to grow their technical and non-technical skills. If you are selected, you have the opportunity to really make a difference to our business by inventing, enhancing and building new system, delivering results, working on exciting and challenging projects. To find out more about eligibility to apply for internal jobs, please refer to the Open Sourcing Employee Guidebook on the Internal Careers Portal. Your ‘day to day’ Creating, Testing and Deploying Pipelines: Design, develop, and maintain data pipelines for efficient data ingestion, processing, and delivery. Ensure Data Completeness and Quality: Implement mechanisms to ensure data completeness, accuracy, and consistency across all data sources and processes. Optimizing and Maintaining Warehouse: Continuously improve the performance and scalability of the data warehouse, implementing optimization techniques and best practices. Continuous Improvement: Identify opportunities for process optimization and automation, striving for continuous improvement in data management practices. Data Analysis: Analyze and interpret data to provide actionable insights and recommendations to stakeholders, supporting data-driven decision-making processes. Work with Vendors: Collaborate with external vendors to integrate new data sources into the data ecosystem, ensuring seamless data flow and integration. Problem-Solving: Leveraging innovative approaches to optimize processes and enhance data quality. Proactive Role: Actively anticipate and resolve potential data issues before they escalate, demonstrating a proactive approach to data. Who we’re looking for You have graduated in (Business) Informatics, IT, computer science or a related field. 5 + years of experience working with SQL Server such as Snowflake, S3 buckets, CI/CD pipelines, Jenkins or GIT. Proficient in SQL and an additional programming language such as PowerShell or Python. Hands-on experience with cloud platforms such as AWS, Azure, or Google Cloud Platform (GCP). Ideal candidates will have a deep understanding of technical and functional designs for Databases, Data Warehousing, ETL, Reporting, and Data Mining areas. Strong understanding of data modeling concepts and techniques, including dimensional modeling and schema design, to ensure efficient data storage and retrieva Preferred Qualification Knowledge of software engineering best practices across the development lifecycle, including agile methodologies, coding standards, code reviews, source management, build processes, testing, and operations. Implement standardized, automated operational processes to deliver accurate and timely data for reporting to meet or exceed SLAs. Understanding of development and management of data infrastructure and service. Proven success in communicating with users, other technical teams, and senior management to collect requirements, describe data modeling decisions and data engineering strategy. Experience working directly with remote technical teams Please note that only online applications will be taken into consideration. Only selected candidates will be contacted. 10787",agile;aws;azure;ci/cd;data engineering;data ingestion;data modeling;data warehouse;dimensional modeling;etl;gcp;git;google cloud;jenkins;powershell;python;s3;scalability;snowflake;sql;testing
Quality Assurance Engineer (Banking),PT. Adi Data Informatika,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/quality-assurance-engineer-banking-at-pt-adi-data-informatika-4323153601?position=7&pageNum=5&refId=vb5ByPxLEAe4OTfzF%2B%2Bfhg%3D%3D&trackingId=oG9pz%2BS60%2BzNtdFUN8M9Ag%3D%3D,"Quality Assurance & Testing (Banking) Menyusun test plan, test scenario, dan test case sesuai kebutuhan bisnis perbankan. Melakukan Functional Testing , Integration Testing , System Testing , Regression Testing , hingga User Acceptance Testing (UAT) . Melakukan API testing dan database validation untuk memastikan integritas data transaksi. Menguji aplikasi mobile dan web banking (mobile banking, internet banking, internal banking apps).",integration testing;testing
Senior Data Scientist,PT Bank Digital BCA (BCA Digital),"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/senior-data-scientist-at-pt-bank-digital-bca-bca-digital-4324262037?position=8&pageNum=5&refId=vb5ByPxLEAe4OTfzF%2B%2Bfhg%3D%3D&trackingId=rOwhOzAqxd7Qgv7wKxrhIw%3D%3D,"Responsibilities Key Responsibilities: Drive leadership in Data Science team in developing and deploy predictive models for customer segmentation, churn prediction, and personalization services. Experiences in Big Data technologies to improve scalability, real-time analytics, and data-driven decision-making. Explore and implement AI technologies including Gen AI, LLM, and other advanced AI applications to improve Our operational processes and enhance customer experience. Design and implement ML algorithms and Auto-ML for recommendation systems, personalized marketing, and other use cases. Collaborate with Data Engineering to ensure scalable data pipelines, robust data architecture, and efficient data lake/warehouse solutions. Perform exploratory data analysis and generate actionable insights for business stakeholders. Lead initiatives on advanced analytics, including NLP, conversational AI, and intelligent automation. Ensure compliance with data governance, security, and regulatory requirements. Able to review model flow, data flow and architecture, and understand the impact of changes to data technology that will be implemented. Mentor junior data scientists and contribute to building best practices in model development and deployment. Partner with IT and business teams to integrate models into production systems and monitor performance. Requirements Job Requirements Bachelor’s or Master’s degree in Data Science, Computer Science, Statistics, Mathematics, or related field. Minimum 7+ years of experience in data science roles, preferably in banking, fintech, or digital platforms. Proven track record of delivering machine learning and AI models in production environments. Strong proficiency in Python or R, and experience with ML frameworks (TensorFlow, PyTorch, Scikit-learn). Hands-on experience with Gen AI, LLMs, and related frameworks (e.g., Hugging Face, LangChain). Expertise in Big Data technologies such as Apache Spark, Hadoop, Kafka, and distributed computing. Strong SQL skills and familiarity with data lake/warehouse architectures. Experience with cloud platforms and containerization. Solid understanding of data modeling, feature engineering, and model evaluation techniques. Knowledge of MLOps practices and tools for CI/CD in ML workflows. Familiarity with digital banking products, customer lifecycle, and risk management. Understanding of regulatory compliance in Indonesian banking. Ability to lead projects and mentor team members.",apache;ci/cd;containerization;customer segmentation;data engineering;data modeling;feature engineering;hadoop;kafka;leadership;llm;machine learning;mlops;model evaluation;nlp;python;pytorch;r;scalability;scikit-learn;security;segmentation;spark;sql;tensorflow
Artificial Intelligence & Machine Learning Lead,PT Link Net Tbk,"Tangerang, Banten, Indonesia",https://id.linkedin.com/jobs/view/artificial-intelligence-machine-learning-lead-at-pt-link-net-tbk-4305223020?position=9&pageNum=5&refId=vb5ByPxLEAe4OTfzF%2B%2Bfhg%3D%3D&trackingId=lkiLVVS22E5paapRwULRGA%3D%3D,"Develop and implement AI and predictive modeling solutions (e.g., B2S Funnel Modelling, OA Penetration, Customer Behavior Models) to drive future growth and improve forecast accuracy Oversee MLOps practices to ensure scalable, reliable, and sustainable deployment of AI/ML models for operational improvement Transform large and complex datasets into actionable business intelligence that optimizes operational costs, customer engagement, and growth opportunities Drive continuous improvement of predictive analytics to enhance forecast accuracy and business planning efficiency Align AI strategy with business priorities by engaging cross-functional teams to integrate predictive models into decision-making processes Facilitate capability building for stakeholders to effectively adopt and utilize AI-driven insights Requirements Bachelor's degree in Data Science, Statistics, Computer Science, Business Analytics, or related field 5+ years in data science, AI/ML, or advanced analytics, Proven track record in leading AI/ML projects from ideation to deployment at scale Exposure to MLOps implementation, predictive modeling, and data-driven business transformation Advanced expertise in machine learning, deep learning, and AI frameworks (e.g., TensorFlow, PyTorch, Scikit-learn) Strong background in predictive analytics, natural language processing (NLP), and data engineering concepts Proficiency in programming languages (Python, R, SQL) and cloud platforms (AWS, GCP, Azure) Familiarity with MLOps pipelines and model lifecycle management Understanding of business process automation and AI-driven decision systems Willing to work in: Karawaci, Tangerang Benefits Medical insurance Medical checkup",aws;azure;business analytics;business intelligence;data engineering;deep learning;gcp;machine learning;mlops;natural language processing;nlp;python;pytorch;r;scikit-learn;sql;tensorflow
"TikTok Shop by Tokopedia - Data Analyst Specialist, Semi-Consignment - Indonesia",TikTok,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/tiktok-shop-by-tokopedia-data-analyst-specialist-semi-consignment-indonesia-at-tiktok-4320523837?position=10&pageNum=5&refId=vb5ByPxLEAe4OTfzF%2B%2Bfhg%3D%3D&trackingId=CM79Qz0SX%2FmQetnWB2oXWg%3D%3D,"Responsibilities About the team We are the Indonesia TikTok Shop Semi-Consignment team, committed to helping small and medium-sized sellers without extensive e-commerce operation capabilities better succeed on TikTok Shop through operational actions such as managing subsidies, creator matchmaking, and ads. Roles & Responsibilities: 1. Based on business strategy, in response to business operation strategies and phased business objectives, be responsible for special project analysis work. By mining features in areas such as user behavior preferences, product competitiveness, content creator ecosystem, and industry trends from massive e-commerce business data, identify potential business problems or opportunities, output professional analysis reports, provide data science support and business insights for strategy implementation, and support the formulation and decision-making of business strategies; 2. Based on an understanding of business models and operating strategies, responsible for designing and building the core daily, weekly, and monthly business operating metric systems and monitoring products, collaborating with cross functions to promote the implementation of data products, and providing productized and systematic solutions for daily business operations and analysis; 3. Responsible for clarifying the definitions and calculation logic of key metrics, formulating data standards and specifications, and improving the efficiency of team data analysis and data quality; 4. Responsible for the design and management of AB tests, ensuring that the experimental design is scientifically sound and reasonable, meets business objectives and statistical significance requirements, promotes the implementation of AB test results, and outputs experimental conclusion reports; 5. Responsible for tasks such as data preparation and feature engineering, providing a quantitative basis for the platform's business decisions, and driving the achievement of the platform's business goals. Qualifications Minimum Qualifications: - Bachelor's degree or above, with major in statistics, mathematics, computer science and technology, data science, economics, finance, marketing, and other related fields. - 3 years minimum of work experience related to data analysis in e-commerce platforms or the industry, with preference given to those with special project experience in data science or business analysis. - High-level fluency in English for listening, speaking, reading, and writing to be used as the primary language to communicate with the internal team, cross functions, and stakeholders from different countries. Preferred Qualifications: - Familiarity with e-commerce business logic (such as user operation, product operation, marketing activities, supply chain management, etc.) will be a plus. About TikTok TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and we also have offices in New York City, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo.​ Why Join Us Inspiring creativity is at the core of TikTok's mission. Our innovative product is built to help people authentically express themselves, discover and connect – and our global, diverse teams make that possible. Together, we create value for our communities, inspire creativity and bring joy - a mission we work towards every day.​ We strive to do great things with great people. We lead with curiosity, humility, and a desire to make impact in a rapidly growing tech company. Every challenge is an opportunity to learn and innovate as one team. We're resilient and embrace challenges as they come. By constantly iterating and fostering an ""Always Day 1"" mindset, we achieve meaningful breakthroughs for ourselves, our company, and our users. When we create and grow together, the possibilities are limitless. Join us.​ ​ Diversity & Inclusion​ TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.​",feature engineering;monitoring
AI Agent Development Contractor (Project-Based),modernvet,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/ai-agent-development-contractor-project-based-at-modernvet-4336809362?position=1&pageNum=7&refId=coILZsHqzI7d%2FJg4ErNnSw%3D%3D&trackingId=60nznN4b9ewGn6xf9jvAnA%3D%3D,"Location: Jakarta / Hybrid Engangement: I nitial 3-month project (extendable) Why this role exists Modernvet built Artemis to deliver instant, reliable answers to customers 24/7, while handing off critical or time-sensitive cases to human agents. Weʼre hiring a project-based contractor to accelerate Artemisʼ capabilities, expand coverage, and measurably improve customer experience. Primary Outcome / KPI Automated Resolution Rate: Achieve and sustain  60% month-over-month (per Intercom resolution metric) Maintain or improve CX Score while scaling automation What youʼll own Task creation & refinement (end-to-end) Build, improve, and QA multi-turn tasks (guided flows) including but not limited to: Booking / Rescheduling / Cancelling appointments Sign up / Forgot password flows Tele consultation: recommend when appropriate, check tickets, guide booking Points: look up points balance, explain usage Pet clinical history lookup: Look up pet information and history Account billing history: Look up historical transaction history, medicine prescription, etc Ensure that existing tasks and cleaned up and refactored when necessary to ensure context-based probing and agent hand off Refill prescription Home visit Imaging/lab test results Urgent/emergency cases Marketing campaigns Payment confirmations Knowledge gap management Use Intercomʼs gap tools to identify unmet intents/FAQs Verify with CS/Ops before adding content Close knowledge gaps with additional articles and internal documentation Automated outbound messaging Utilize Intercoms outbound workflow management to create flows that automate our outbound messaging needs. This includes but is not limited to: Appointment reminders Appointment confirmation Vaccination reminders Information architecture & accuracy Keep Artemisʼ static information (Q&A) fully up to date with Ops (e.g., pricing, terms & conditions, clinic hours, holidays) Build a clean content hierarchy: folders, naming conventions, tags Document app features & flows with screenshots; explain points usage clearly Reporting & insight (in Intercom) Build dashboards in Intercom to monitor: resolution rate, involvement/deflection, CX score, handoff rate, top intents, fail reasons, knowledge gap burn-down, and task completion Keep dashboards current; share weekly insights & next actions Thorough testing & QA (critical) Design and run test plans for each task/knowledge addition: Happy paths, alternate paths, edge cases, ambiguous inputs, language variants (ID/EN), date/time constraints, policy/eligibility checks Regression tests after changes; capture examples; propose fixes Define pass/fail criteria and sign-off checklists Partner with Engineering on data connectors/APIs Draft and communicate requirements for the endpoints Artemis needs (fields, validation, expected responses, error states) Coordinate with engineers on delivery, review responses against requirements, and run UAT in Artemis before go-live You donʼt need to implement APIs—clear specs & coordination are the goal Operational alignment & hygiene Sync with Clinic Ops on updates (services, availability rules) Maintain a tidy content repo (folders, owners, updated dates) Keep a visible backlog/changelog in Notion Requirements 2+ years as CX operations lead or engineering background with experience working with customer service Experience designing multi-turn flows with variables, conditions, validations, and graceful handoffs Strong logical thinking, troubleshooting, and attention to detail; comfortable defining edge cases Data-literate: build dashboards, interpret trends, and turn insights into changes Excellent communication in Bahasa Indonesia & English Work well cross-functionally, primarily with CS ops teams to understand SOPʼs and guidelines and medical team to understand Nice to have Healthcare/veterinary or scheduling domain familiarity Working knowledge of payload shapes/JSON when drafting endpoint requirements Tools: Intercom (Workflows/Fin/Articles/Insights), Notion, Slack, Amplitude/Segment Powered by JazzHR GM8oRZNxEy",communication;testing
Data Scientist Manager - Zurich Asuransi Indonesia,Zurich Insurance,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-scientist-manager-zurich-asuransi-indonesia-at-zurich-insurance-4303884674?position=2&pageNum=7&refId=coILZsHqzI7d%2FJg4ErNnSw%3D%3D&trackingId=c5bP1ZgnAG%2FLp9hed0cJTQ%3D%3D,"Job Summary Lead the development and implementation of machine learning models and data science solutions. They work closely with business stakeholders to identify opportunities for data-driven insights, and they are responsible for developing and implementing cutting-edge algorithms, models, and analytical solutions. Job Qualifications Background education in Data Science, Statistics, Computer Science, Actuarial Science, or related field. 5-7+ years of experience in data science, with at least 2 years in a leadership role. Prior experience in insurance or financial services is highly preferred. Proficiency in Python, R, SQL, and machine learning frameworks (e.g., Scikit-learn, TensorFlow). Strong understanding of statistical modeling, predictive analytics, and data visualization tools (e.g., Power BI, Tableau). Experience with big data platforms (e.g., Hadoop, Spark) and cloud environments (AWS, Azure, GCP) Excellent communication and storytelling skills to translate complex data into actionable insights. Key Accountabilities Collaborate with cross-functional teams to identify business requirements, design experiments, collect and analyze data, and build predictive models. Have expertise that will contribute to enhancing data-driven decision-making processes and improving business outcomes. Cleaning, processing, and analyzing data to prepare it for use in machine learning models. Developing, testing, and validating machine learning models using appropriate toolsDeploying models into production systems and monitoring their performance. Collaborating with the Data Science & Data Engineering team in developing machine learning models and data science solutions. Collaborating with business stakeholders to identify opportunities for data-driven insights. Defining project objectives and timelines, and managing project execution. Contributing to the development of new data science and machine learning solutions. Communicating results and insights to stakeholders through presentations and reports. Staying up-to-date with industry trends and emerging technologies in data science and machine learning. Performance Management Accountabilities Demonstrate commitment to corporate values. Take accountability for participating in the performance management cycle. Take action to improve performance on the job. Assist and support co-workers. Take action to manage own personal development. You are the heart & soul of Zurich! At Zurich, we like to think outside the box and challenge the status quo. We take an optimistic approach by focusing on the positives and constantly asking What can go right? We highly value the experience and know-how of our employees and offer a wide range of opportunities across business areas to encourage you to apply for new opportunities within Zurich when you are ready for your next career step. Let’s continue to grow together! Location(s): ID - Head Office - MT Haryono Remote working: Schedule: Full Time Recruiter name: Ayu Candra Sekar Rurisa Closing date:",aws;azure;communication;data engineering;data visualization;gcp;hadoop;leadership;machine learning;monitoring;python;r;scikit-learn;spark;sql;tableau;tensorflow;testing
Solution Engineer,H3C,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/solution-engineer-at-h3c-4323587126?position=3&pageNum=7&refId=coILZsHqzI7d%2FJg4ErNnSw%3D%3D&trackingId=PgajQQd1dHnI3akgC7o%2Bzg%3D%3D,"About H3C: H3C is an industry leader in the provision of Digital Solutions and is committed to becoming the most trusted partner of its customers in their quest for business innovation and digital transformation. We offer a full portfolio of Digital Infrastructure products, spanning across compute, storage, networking, 5G, security and related domains, and provide a comprehensive one-stop digital platform that includes cloud computing, big data, artificial intelligence (AI), industrial internet, information security, intelligent connectivity, AI vision, and edge computing, as well as end-to-end technical services. We are also the exclusive provider of HPE® servers, storage and associated technical services in China. ""Shaping the Digital Future for a Better Life” is the corporate vision of H3C. We are aiming to drive the development of the digital economy, and together with customers and partners, to create a better life for all to enjoy. Purpose of the Role : As a Solution Engineer (Presales) , you will be responsible for interacting and to determine prospective clients’ needs and explain the value of our product’s technological capabilities and business value with the client. The ideal candidate should be able to clearly articulate highly technical concepts to all prospective clients. Responsibilities:- Clearly articulate technical capabilities and give technical demonstrations. Partner with the sales team to generate leads, follow-up all projects related technical matters. Prepare presentation for Projects, Proposals and Bill Of Materials (BOM). Prepare of PoC documents to guide customer requirements. Prepare of SoC for customer reference of tender bidding. Support the constant communication with prospective clients. Provide general technical support to partners and clients. Involve in project implementation and roll-out process. As a technology Prime of a specific technology of solution from the company. Qualifications:- Minimum a Bachelor Degree in any related field. Ability to discuss highly technical concepts with prospective leads. Strong verbal, written, and interpersonal skills, and excellent in presentation skill. At least 3 years’ experience in working as a Solution Engineer or Presales or related technical role. Familiar of part of the Internet Services Providers (ISP) technology listed with evidence, Campus Network, Data Center Network, WAN, WiFi, HCI, Server and Storage, Cloud, Security or 5G. Chinese language skill will be an added advantage as require to communicate with Chinese speaking customers and HQ. Willingness to travel.",cloud computing;communication;networking;security
AI Developer (Remote),BJAK,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/ai-developer-remote-at-bjak-4337975880?position=4&pageNum=7&refId=coILZsHqzI7d%2FJg4ErNnSw%3D%3D&trackingId=1hxhKZQJc14TDcZZV%2F3gMQ%3D%3D,"Shape AI That Powers the Future of Financial Access Across Southeast Asia At BJAK, we’re using AI to solve meaningful problems - from fraud detection and risk modeling to personalized experiences that make insurance and financial services more inclusive. We’re looking for a AI Engineer based in Indonesia to play a key role in building and scaling these systems. This role combines senior-level engineering depth with team leadership, reporting directly to our Head of AI. You’ll be both an individual contributor and a technical mentor, working hands-on with models while also guiding junior engineers and contributing to the team's growth. Why This Role Matters You’ll build core AI systems that serve millions of users across the region. You’ll act as the right hand to the Head of AI, shaping direction, execution, and standards. You’ll help build a lean, high-performance AI team by interviewing, mentoring, and coaching. You’ll set the technical bar, leading by example in code quality, delivery, and problem-solving What You’ll Do Design and deploy production-grade machine learning models for business-critical use cases. Collaborate closely with engineering, data, and product teams to identify and deliver AI solution.s Lead technical decisions on model architecture, system design, and deployment pipelines. Own end-to-end model lifecycle: from data preparation to training, validation, monitoring, and retraining Act as a mentor to junior AI engineers - reviewing code, guiding projects, and supporting growth Support hiring: interview candidates, evaluate technical fit, and contribute to building a world-class team Champion AI best practices, experimentation, and continuous improvement Stay current with AI advancements and evaluate what’s worth bringing into our stack You’ll Thrive Here If You... Are both a builder and a leader - you roll up your sleeves and raise the bar for others Get excited about shipping AI systems that work in the real world Enjoy helping teammates grow and succeed - and do it without ego Can bring clarity and structure to ambiguity Thrive in a high-ownership, fast-paced startup culture Care about impact - not just model accuracy, but how it affects users and business Think feedback, iteration, and learning are part of the job - not afterthoughts Requirements Bachelor’s or Master’s degree in Computer Science, Engineering, or related field 4–6 years of experience in AI engineering, with production deployment experience Strong Python skills is a MUST Deep familiarity with ML frameworks (e.g., TensorFlow, PyTorch, Scikit-learn) Experience working on real-world AI applications (e.g., risk scoring, recommendation, NLP, etc.) Experience mentoring engineers and collaborating across functions Strong communication skills - able to work cross-functionally and provide technical leadership Must be based in Indonesia and able to work remotely with Malaysia HQ Nice to Have Experience with MLOps tooling (MLflow, Airflow, Docker, GCP/AWS) Familiarity with model explainability, fairness, or responsible AI practices Background in startup or high-growth tech environments Exposure to building internal AI tools, frameworks, or reusable components What You’ll Get Competitive salary and performance bonuses Fully remote, flexible work setup from anywhere in Indonesia High ownership, visible impact, and direct reporting to the Head of AI Fast career growth in a company scaling across ASEAN Opportunity to lead a lean, smart team solving meaningful problems Access to cross-border collaboration and regional product exposure About BJAK BJAK is Southeast Asia’s largest digital insurance platform, helping millions access transparent and affordable financial protection. Headquartered in Malaysia and operating across Thailand, Taiwan, and Japan, we simplify financial products using AI, automation, and smart systems, making them accessible, fast, and fair. Join us to shape the future of AI-driven finance. If you’re ready to build, lead, and scale AI that matters - and grow with a company that moves fast and thinks big - we’d love to hear from you.",airflow;aws;communication;docker;fraud detection;gcp;leadership;machine learning;mlops;monitoring;nlp;python;pytorch;risk modeling;scikit-learn;tensorflow
Machine Learning Engineer,PT Prima Vista Solusi,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/machine-learning-engineer-at-pt-prima-vista-solusi-4331344264?position=5&pageNum=7&refId=coILZsHqzI7d%2FJg4ErNnSw%3D%3D&trackingId=1FCpzt4MY2%2BiVi7dG4v6ZA%3D%3D,"Design, develop, and deploy cutting-edge LLMs for diverse NLP applications. Optimize and fine-tune large-scale language models using frameworks like TensorFlow, PyTorch, or JAX. Research and implement advancements in LLMs, including transformer architectures and reinforcement learning techniques. Work closely with data scientists, software engineers, and product managers to integrate LLMs into production systems. Build and maintain scalable machine learning pipelines for training and inference. Ensure LLMs are efficient, high-performing, and scalable for real-world applications. Evaluate AI models using key NLP metrics and refine them based on experimental results. Stay updated with the latest AI research and contribute to open-source projects where relevant. Implement responsible AI principles, including fairness, explainability, and ethical considerations. Document AI model architectures, training methodologies, and deployment strategies. Minimum Qualifications Bachelor's, Master's in Computer Science, Artificial Intelligence, Machine Learning, or a related field. Minimum 3-5 years of experience in machine learning, deep learning, or natural language processing roles. Strong proficiency in Python and experience with ML frameworks like TensorFlow, PyTorch, or JAX. Hands-on experience with large-scale language models, including transformers, GPT-based models, and BERT-style architectures. Experience with cloud platforms (AWS, Google Cloud, Azure) and ML model deployment. Knowledge of MLOps practices, including model versioning, monitoring, and automation. Experience with large-scale datasets, data preprocessing, and distributed computing frameworks (e.g., Spark, Ray). Solid understanding of deep learning architectures, optimization techniques, and reinforcement learning. Strong problem-solving skills and ability to conduct independent research. Excellent collaboration and communication skills for cross-functional teamwork. Experience with prompt engineering, fine-tuning LLMs, and retrieval-augmented generation (RAG) is a must. Contributions to AI research publications or open-source projects are highly desirable.",aws;azure;bert;communication;data preprocessing;deep learning;google cloud;gpt;jax;machine learning;mlops;model deployment;monitoring;natural language processing;nlp;python;pytorch;rag;spark;teamwork;tensorflow;transformer
